id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_bulan,nama_bulan,komponen_darah,jumlah,satuan,tahun
101,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,OKTOBER,PRC,888,ORANG,2023
102,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,OKTOBER,TC,4,ORANG,2023
103,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,NOVEMBER,WB,2,ORANG,2023
104,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,NOVEMBER,PRC,829,ORANG,2023
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,NOVEMBER,TC,4,ORANG,2023
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,DESEMBER,WB,0,ORANG,2023
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,DESEMBER,PRC,828,ORANG,2023
108,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,DESEMBER,TC,4,ORANG,2023
109,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,JANUARI,WB,1,ORANG,2024
110,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,JANUARI,PRC,779,ORANG,2024
111,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,JANUARI,TC,60,ORANG,2024
112,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,FEBRUARI,WB,0,ORANG,2024
113,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,FEBRUARI,PRC,617,ORANG,2024
114,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,FEBRUARI,TC,16,ORANG,2024
115,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,MARET,WB,4,ORANG,2024
116,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,MARET,PRC,698,ORANG,2024
117,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,MARET,TC,19,ORANG,2024
118,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4,APRIL,WB,4,ORANG,2024
119,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4,APRIL,PRC,606,ORANG,2024
120,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4,APRIL,TC,22,ORANG,2024
121,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,MEI,WB,10,ORANG,2024
122,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,MEI,PRC,710,ORANG,2024
123,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,MEI,TC,11,ORANG,2024
124,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,JUNI,WB,4,ORANG,2024
125,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,JUNI,PRC,549,ORANG,2024
126,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,JUNI,TC,19,ORANG,2024
127,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7,JULI,WB,0,ORANG,2024
128,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7,JULI,PRC,696,ORANG,2024
129,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7,JULI,TC,25,ORANG,2024
130,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,AGUSTUS,WB,0,ORANG,2024
131,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,AGUSTUS,PRC,598,ORANG,2024
132,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,AGUSTUS,TC,21,ORANG,2024
133,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9,SEPTEMBER,WB,1,ORANG,2024
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9,SEPTEMBER,PRC,565,ORANG,2024
135,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9,SEPTEMBER,TC,18,ORANG,2024
136,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,OKTOBER,WB,0,ORANG,2024
137,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,OKTOBER,PRC,644,ORANG,2024
138,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,OKTOBER,TC,12,ORANG,2024
139,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,NOVEMBER,WB,0,ORANG,2024
140,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,NOVEMBER,PRC,549,ORANG,2024
141,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,NOVEMBER,TC,17,ORANG,2024
142,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,DESEMBER,WB,0,ORANG,2024
143,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,DESEMBER,PRC,618,ORANG,2024
144,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,DESEMBER,TC,0,ORANG,2024
